Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
"click(findTestObject(""addUser/reading_secondary_dropdown""), STOP_ON_FAILURE)",Chrome 74.0.3729.169,,2019-06-07 13:55:30,2019-06-07 13:55:30,0.081s,PASSED
"click(findTestObject(""addUser/reading_secondary_fluent""), STOP_ON_FAILURE)",Chrome 74.0.3729.169,,2019-06-07 13:55:30,2019-06-07 13:55:30,0.107s,PASSED
"click(findTestObject(""addUser/reading_other_dropdown""), STOP_ON_FAILURE)",Chrome 74.0.3729.169,,2019-06-07 13:55:30,2019-06-07 13:55:30,0.091s,PASSED
"click(findTestObject(""addUser/reading_other_fluent""), STOP_ON_FAILURE)",Chrome 74.0.3729.169,,2019-06-07 13:55:30,2019-06-07 13:55:30,0.109s,PASSED
delay(2),Chrome 74.0.3729.169,,2019-06-07 13:55:30,2019-06-07 13:55:32,2.002s,PASSED
"click(findTestObject(""addUser/writing_primary_dropdown""), STOP_ON_FAILURE)",Chrome 74.0.3729.169,,2019-06-07 13:55:32,2019-06-07 13:55:33,0.100s,PASSED
"click(findTestObject(""addUser/writing_primary_fluent""), STOP_ON_FAILURE)",Chrome 74.0.3729.169,,2019-06-07 13:55:33,2019-06-07 13:55:33,0.099s,PASSED
"click(findTestObject(""addUser/writing_secondary_dropdown""), STOP_ON_FAILURE)",Chrome 74.0.3729.169,,2019-06-07 13:55:33,2019-06-07 13:55:33,0.088s,PASSED
"click(findTestObject(""addUser/writing_secondary_fluent""), STOP_ON_FAILURE)",Chrome 74.0.3729.169,,2019-06-07 13:55:33,2019-06-07 13:55:33,0.096s,PASSED
"click(findTestObject(""addUser/writing_other_dropdown""), STOP_ON_FAILURE)",Chrome 74.0.3729.169,,2019-06-07 13:55:33,2019-06-07 13:55:33,0.075s,PASSED
"click(findTestObject(""addUser/writing_other_fluent""), STOP_ON_FAILURE)",Chrome 74.0.3729.169,,2019-06-07 13:55:33,2019-06-07 13:55:33,0.088s,PASSED
delay(5),Chrome 74.0.3729.169,,2019-06-07 13:55:33,2019-06-07 13:55:38,5.001s,PASSED
"click(findTestObject(""addUser/professional_cred_tab""), STOP_ON_FAILURE)",Chrome 74.0.3729.169,,2019-06-07 13:55:38,2019-06-07 13:55:38,0.002s,NOT_RUN
"click(findTestObject(""addUser/next_button""), STOP_ON_FAILURE)",Chrome 74.0.3729.169,,2019-06-07 13:55:38,2019-06-07 13:55:38,0.156s,PASSED
delay(3),Chrome 74.0.3729.169,,2019-06-07 13:55:38,2019-06-07 13:55:41,3.002s,PASSED
"setText(findTestObject(""addUser/professional_credentials/cred_profcert_idlicensecert""), ""1234344441"")",Chrome 74.0.3729.169,,2019-06-07 13:55:41,2019-06-07 13:55:42,0.523s,PASSED
"setText(findTestObject(""addUser/professional_credentials/cred_profcert_effectivedate""), today_date)",Chrome 74.0.3729.169,,2019-06-07 13:55:42,2019-06-07 13:55:42,0.306s,PASSED
"setText(findTestObject(""addUser/professional_credentials/cred_profcert_expirationdate""), ""06072025"")",Chrome 74.0.3729.169,,2019-06-07 13:55:42,2019-06-07 13:55:42,0.325s,PASSED
"setText(findTestObject(""addUser/professional_credentials/cred_profcert_dateverified""), today_date)",Chrome 74.0.3729.169,,2019-06-07 13:55:42,2019-06-07 13:55:43,0.265s,PASSED
"setText(findTestObject(""addUser/professional_credentials/cred_profcert_verifiedby""), ""RN Medisource"")",Chrome 74.0.3729.169,,2019-06-07 13:55:43,2019-06-07 13:55:43,0.623s,PASSED
"sendKeys(findTestObject(""addUser/professional_credentials/cred_profcert_notes""), Keys.chord(""Copy on File"", ENTER))",Chrome 74.0.3729.169,,2019-06-07 13:55:43,2019-06-07 13:55:44,0.578s,PASSED
delay(3),Chrome 74.0.3729.169,,2019-06-07 13:55:44,2019-06-07 13:55:47,3.001s,PASSED
"setText(findTestObject(""addUser/professional_credentials/cred_licensecertverification_idlicensecert""), ""1234344441"")",Chrome 74.0.3729.169,,2019-06-07 13:55:47,2019-06-07 13:55:47,0.482s,PASSED
"setText(findTestObject(""addUser/professional_credentials/cred_licensecertverification_effectivedate""), today_date)",Chrome 74.0.3729.169,,2019-06-07 13:55:47,2019-06-07 13:55:48,0.272s,PASSED
"setText(findTestObject(""addUser/professional_credentials/cred_licensecertverification_expirationdate""), ""06072025"")",Chrome 74.0.3729.169,,2019-06-07 13:55:48,2019-06-07 13:55:48,0.304s,PASSED
"setText(findTestObject(""addUser/professional_credentials/cred_licensecertverification_dateverified""), today_date)",Chrome 74.0.3729.169,,2019-06-07 13:55:48,2019-06-07 13:55:48,0.262s,PASSED
"setText(findTestObject(""addUser/professional_credentials/cred_licensecertverification_verifiedby""), ""RN Medisource"")",Chrome 74.0.3729.169,,2019-06-07 13:55:48,2019-06-07 13:55:49,0.638s,PASSED
"sendKeys(findTestObject(""addUser/professional_credentials/cred_licensecertverification_notes""), Keys.chord(""Copy on File"", ENTER))",Chrome 74.0.3729.169,,2019-06-07 13:55:49,2019-06-07 13:55:49,0.560s,PASSED
delay(3),Chrome 74.0.3729.169,,2019-06-07 13:55:49,2019-06-07 13:55:52,3.002s,PASSED
"setText(findTestObject(""addUser/professional_credentials/cred_cprbls_idlicensecert""), ""1234344441"")",Chrome 74.0.3729.169,,2019-06-07 13:55:52,2019-06-07 13:55:53,0.460s,PASSED
"setText(findTestObject(""addUser/professional_credentials/cred_cprbls_effectivedate""), today_date)",Chrome 74.0.3729.169,,2019-06-07 13:55:53,2019-06-07 13:55:53,0.267s,PASSED
"setText(findTestObject(""addUser/professional_credentials/cred_cprbls_expirationdate""), ""06072025"")",Chrome 74.0.3729.169,,2019-06-07 13:55:53,2019-06-07 13:55:53,0.301s,PASSED
"setText(findTestObject(""addUser/professional_credentials/cred_cprbls_dateverified""), today_date)",Chrome 74.0.3729.169,,2019-06-07 13:55:53,2019-06-07 13:55:54,0.256s,PASSED
"setText(findTestObject(""addUser/professional_credentials/cred_cprbls_verifiedby""), ""RN Medisource"")",Chrome 74.0.3729.169,,2019-06-07 13:55:54,2019-06-07 13:55:54,0.616s,PASSED
"sendKeys(findTestObject(""addUser/professional_credentials/cred_cprbls_notes""), Keys.chord(""Copy on File"", ENTER))",Chrome 74.0.3729.169,,2019-06-07 13:55:54,2019-06-07 13:55:55,0.558s,PASSED
delay(3),Chrome 74.0.3729.169,,2019-06-07 13:55:55,2019-06-07 13:55:58,3.002s,PASSED
"setText(findTestObject(""addUser/professional_credentials/cred_driverlicense_idlicensecert""), ""1234344441"")",Chrome 74.0.3729.169,,2019-06-07 13:55:58,2019-06-07 13:55:58,0.464s,PASSED
"setText(findTestObject(""addUser/professional_credentials/cred_driverlicense_effectivedate""), today_date)",Chrome 74.0.3729.169,,2019-06-07 13:55:58,2019-06-07 13:55:59,0.260s,PASSED
"setText(findTestObject(""addUser/professional_credentials/cred_driverlicense_expirationdate""), ""06072025"")",Chrome 74.0.3729.169,,2019-06-07 13:55:59,2019-06-07 13:55:59,0.336s,PASSED
"setText(findTestObject(""addUser/professional_credentials/cred_driverlicense_dateverified""), today_date)",Chrome 74.0.3729.169,,2019-06-07 13:55:59,2019-06-07 13:55:59,0.249s,PASSED
"setText(findTestObject(""addUser/professional_credentials/cred_driverlicense_verifiedby""), ""RN Medisource"")",Chrome 74.0.3729.169,,2019-06-07 13:55:59,2019-06-07 13:56:00,0.640s,PASSED
"sendKeys(findTestObject(""addUser/professional_credentials/cred_driverlicense_notes""), Keys.chord(""Copy on File"", ENTER))",Chrome 74.0.3729.169,,2019-06-07 13:56:00,2019-06-07 13:56:00,0.566s,PASSED
delay(3),Chrome 74.0.3729.169,,2019-06-07 13:56:00,2019-06-07 13:56:03,3.002s,PASSED
"setText(findTestObject(""addUser/professional_credentials/cred_carinsurance_idlicensecert""), ""1234344441"")",Chrome 74.0.3729.169,,2019-06-07 13:56:03,2019-06-07 13:56:04,0.467s,PASSED
"setText(findTestObject(""addUser/professional_credentials/cred_carinsurance_effectivedate""), today_date)",Chrome 74.0.3729.169,,2019-06-07 13:56:04,2019-06-07 13:56:04,0.265s,PASSED
"setText(findTestObject(""addUser/professional_credentials/cred_carinsurance_expirationdate""), ""06072025"")",Chrome 74.0.3729.169,,2019-06-07 13:56:04,2019-06-07 13:56:04,0.289s,PASSED
"setText(findTestObject(""addUser/professional_credentials/cred_carinsurance_dateverified""), today_date)",Chrome 74.0.3729.169,,2019-06-07 13:56:04,2019-06-07 13:56:05,0.285s,PASSED
"setText(findTestObject(""addUser/professional_credentials/cred_carinsurance_verifiedby""), ""RN Medisource"")",Chrome 74.0.3729.169,,2019-06-07 13:56:05,2019-06-07 13:56:05,0.593s,PASSED
"sendKeys(findTestObject(""addUser/professional_credentials/cred_carinsurance_notes""), Keys.chord(""Copy on File"", ENTER))",Chrome 74.0.3729.169,,2019-06-07 13:56:05,2019-06-07 13:56:06,0.552s,PASSED
delay(3),Chrome 74.0.3729.169,,2019-06-07 13:56:06,2019-06-07 13:56:09,3.002s,PASSED
"setText(findTestObject(""addUser/professional_credentials/cred_annaualpereval_effectivedate""), today_date)",Chrome 74.0.3729.169,,2019-06-07 13:56:09,2019-06-07 13:56:09,0.299s,PASSED
"setText(findTestObject(""addUser/professional_credentials/cred_annaualpereval_expirationdate""), ""06072025"")",Chrome 74.0.3729.169,,2019-06-07 13:56:09,2019-06-07 13:56:09,0.353s,PASSED
"setText(findTestObject(""addUser/professional_credentials/cred_annaualpereval_dateverified""), today_date)",Chrome 74.0.3729.169,,2019-06-07 13:56:09,2019-06-07 13:56:10,0.272s,PASSED
"setText(findTestObject(""addUser/professional_credentials/cred_annaualpereval_verifiedby""), ""RN Medisource"")",Chrome 74.0.3729.169,,2019-06-07 13:56:10,2019-06-07 13:56:10,0.571s,PASSED
"sendKeys(findTestObject(""addUser/professional_credentials/cred_annaualpereval_notes""), Keys.chord(""Copy on File"", ENTER))",Chrome 74.0.3729.169,,2019-06-07 13:56:10,2019-06-07 13:56:11,0.536s,PASSED
delay(5),Chrome 74.0.3729.169,,2019-06-07 13:56:11,2019-06-07 13:56:16,5.002s,PASSED
"click(findTestObject(""addUser/health_cred_tab""), STOP_ON_FAILURE)",Chrome 74.0.3729.169,,2019-06-07 13:56:16,2019-06-07 13:56:16,0.402s,ERROR
,,,,,,
Test Cases/Human_Resources/delete_user,Chrome 74.0.3729.169,,2019-06-07 13:56:16,2019-06-07 13:56:53,36.722s,FAILED
delay(5),Chrome 74.0.3729.169,,2019-06-07 13:56:16,2019-06-07 13:56:21,5.002s,PASSED
"setText(findTestObject(""user_list/userlist_search_bar""), ""Automated"")",Chrome 74.0.3729.169,,2019-06-07 13:56:21,2019-06-07 13:56:53,31.569s,FAILED
